,NAME,PRICE,RATING
0,"APPLE iPhone 12 (Blue, 128 GB)","₹64,999",4.7
1,"APPLE iPhone 12 (Black, 64 GB)","₹59,999",4.7
2,"APPLE iPhone SE (Black, 64 GB)","₹29,999",4.5
3,"APPLE iPhone 12 Mini (Purple, 128 GB)","₹54,999",4.5
4,"APPLE iPhone SE (Red, 64 GB)","₹29,999",4.5
5,"APPLE iPhone SE (White, 64 GB)","₹29,999",4.5
6,"APPLE iPhone 12 (Red, 128 GB)","₹64,999",4.7
7,"APPLE iPhone 12 Mini (Blue, 128 GB)","₹54,999",4.5
8,"APPLE iPhone 12 Mini (Red, 128 GB)","₹54,999",4.5
9,"APPLE iPhone 12 Mini (White, 64 GB)","₹49,999",4.5
10,"APPLE iPhone 12 (Red, 64 GB)","₹59,999",4.7
11,"APPLE iPhone 12 Mini (Green, 128 GB)","₹54,999",4.5
12,"APPLE iPhone 12 Mini (Blue, 64 GB)","₹49,999",4.5
13,"APPLE iPhone 12 Mini (Black, 128 GB)","₹54,999",4.5
14,"APPLE iPhone 12 Mini (Black, 64 GB)","₹49,999",4.5
15,"APPLE iPhone 12 (Purple, 64 GB)","₹59,999",4.7
16,"APPLE iPhone 12 Mini (Purple, 64 GB)","₹49,999",4.5
17,"APPLE iPhone SE (White, 128 GB)","₹34,999",4.5
18,"APPLE iPhone SE (Black, 128 GB)","₹34,999",4.5
19,"APPLE iPhone 12 Mini (Green, 64 GB)","₹49,999",4.5
20,"APPLE iPhone SE (Red, 128 GB)","₹34,999",4.5
21,"APPLE iPhone 12 Mini (White, 128 GB)","₹54,999",4.5
22,"APPLE iPhone 12 Mini (Red, 64 GB)","₹49,999",4.5
23,"APPLE iPhone 12 (Blue, 64 GB)","₹59,999",4.7
